,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,average_room_size,floor_area_ratio,bedroom_bathroom_ratio,Seattle_dist_km,Redmond_dist_km,Redmond_Seattle_total_dist,population,land_area,pop_density,water_area,income,nearby_schools,log_bathrooms,log_sqft_living,log_sqft_lot,log_sqft_above,log_sqft_basement,log_lat,log_long,log_sqft_living15,log_sqft_lot15,log_average_room_size,log_floor_area_ratio,log_bedroom_bathroom_ratio,log_Seattle_dist_km,log_Redmond_dist_km,log_Redmond_Seattle_total_dist,log_population,log_land_area,log_pop_density,log_water_area,log_income
0,1330000.0,2,2.25,3200,20158,1.0,0,3,8,1600,1.0,47.6303,-122.215,3390,20158,752.9411764705883,0.1587459073320766,1.125,9.07550549361605,8.34872407604011,17.424229569656163,30610,7.03,4354.1963015647225,1.61,254763.4276,9,0.8109302162163288,8.070906088787819,9.911356510914823,7.3777589082278725,0.0,3.8634691133442662,,8.128585200374497,9.911356510914823,6.6239871058514925,-1.8404504221270053,0.11778303565638346,2.2055790803755015,2.1221087219221926,2.857861741589126,10.329082031939459,1.9501867058225735,8.378895326116885,0.4762341789963717,12.448090658626228
1,1090000.0,1,2.5,2920,8113,2.0,0,3,8,2920,0.0,47.5814,-122.196,2370,8113,834.2857142857143,0.3599161839023789,2.5,10.367021306938993,11.94057979817155,22.307601105110543,30610,7.03,4354.1963015647225,1.61,254763.4276,9,0.9162907318741551,7.979338895262328,9.001222992395064,7.979338895262328,-inf,3.8624419285697154,,7.7706452341291765,9.001222992395064,6.72657592676696,-1.0218840971327376,0.9162907318741551,2.338629739604513,2.479942666096341,3.104927477119029,10.329082031939459,1.9501867058225735,8.378895326116885,0.4762341789963717,12.448090658626228
2,1450000.0,2,2.75,2750,17789,1.5,0,3,8,1980,1.0,47.6141,-122.212,3060,11275,578.9473684210526,0.15458991511608297,1.375,8.902500743842133,9.476318375055909,18.378819118898043,30610,7.03,4354.1963015647225,1.61,254763.4276,9,1.0116009116784799,7.919356190660617,9.78633556772527,7.590852123688581,0.0,3.8631289358607352,,8.026170194946426,9.330343164370879,6.361211572614067,-1.8669793770646528,0.3184537311185346,2.1863322197240898,2.248795883775184,2.9111988667078297,10.329082031939459,1.9501867058225735,8.378895326116885,0.4762341789963717,12.448090658626228
3,1300000.0,1,2.0,2350,15021,1.0,0,4,8,1770,1.0,47.6408,-122.219,3530,15715,783.3333333333334,0.15644763997070768,2.0,9.236705783028077,7.887144744678993,17.12385052770707,30610,7.03,4354.1963015647225,1.61,254763.4276,9,0.6931471805599453,7.762170607138205,9.617204500998055,7.478734825567875,0.0,3.863689536957356,,8.169053149927343,9.662370949231669,6.663558318470095,-1.8550338938598498,0.6931471805599453,2.223185305097999,2.065234186558723,2.840472259425815,10.329082031939459,1.9501867058225735,8.378895326116885,0.4762341789963717,12.448090658626228
4,1270000.0,2,2.5,3200,17204,1.0,0,3,7,2160,1.0,47.6209,-122.222,4090,15732,711.1111111111111,0.1860032550569635,1.25,8.290327593406294,9.439265457407412,17.729593050813705,30610,7.03,4354.1963015647225,1.61,254763.4276,9,0.9162907318741551,8.070906088787819,9.752897193903626,7.67786350067821,0.0,3.8632717405021286,,8.316300249036848,9.6634521335517,6.566828692011544,-1.681991105115809,0.22314355131420976,2.1150894850620117,2.244878165414604,2.875235167245923,10.329082031939459,1.9501867058225735,8.378895326116885,0.4762341789963717,12.448090658626228
5,1320000.0,1,3.0,2230,12968,2.0,0,3,9,2230,0.0,47.6271,-122.197,2260,10160,557.5,0.17196175200493521,3.0,10.272278300922364,7.646980700169417,17.91925900109178,30610,7.03,4354.1963015647225,1.61,254763.4276,9,1.0986122886681098,7.709756864454165,9.470240063415512,7.709756864454165,-inf,3.8634019269629207,,7.723120092266331,9.226213721132472,6.323462503334274,-1.7604831989613476,1.0986122886681098,2.329448839738922,2.03431089021549,2.8858760563063304,10.329082031939459,1.9501867058225735,8.378895326116885,0.4762341789963717,12.448090658626228
6,2260000.0,1,3.5,3110,14872,1.0,0,3,10,3110,0.0,47.6178,-122.209,3110,12433,691.1111111111111,0.2091178052716514,3.5,9.182311284311137,9.017219371264938,18.199530655576076,30610,7.03,4354.1963015647225,1.61,254763.4276,9,1.252762968495368,8.04237800517328,9.60723552940128,8.04237800517328,-inf,3.863206640915488,,8.04237800517328,9.428109506952937,6.538300608397006,-1.5648575242280003,1.252762968495368,2.2172789468327743,2.1991360128527457,2.901395805595069,10.329082031939459,1.9501867058225735,8.378895326116885,0.4762341789963717,12.448090658626228
7,1380000.0,1,1.5,1850,10572,1.0,0,4,8,1850,0.0,47.6194,-122.208,3030,12752,740.0,0.17499054105183504,1.5,9.286080139590437,8.833614266081401,18.119694405671837,30610,7.03,4354.1963015647225,1.61,254763.4276,9,0.4054651081081644,7.52294091807237,9.26596427572418,7.52294091807237,-inf,3.8632402412313342,,8.016317898503415,9.453443401029997,6.606650186198215,-1.7430233576518093,0.4054651081081644,2.228516519712379,2.178564247525668,2.896999435443469,10.329082031939459,1.9501867058225735,8.378895326116885,0.4762341789963717,12.448090658626228
8,1430000.0,2,2.5,3380,27589,2.0,0,3,10,3380,0.0,47.6292,-122.225,3390,20075,751.1111111111111,0.12251259559969553,1.25,8.326672049955548,9.004593257981774,17.331265307937322,30610,7.03,4354.1963015647225,1.61,254763.4276,9,0.9162907318741551,8.125630988477065,10.225172421538154,8.125630988477065,-inf,3.8634460185348236,,8.128585200374497,9.907230538814963,6.62155359170079,-2.0995414330610904,0.22314355131420976,2.119463862540988,2.197734809143804,2.852512113637952,10.329082031939459,1.9501867058225735,8.378895326116885,0.4762341789963717,12.448090658626228
9,1550000.0,2,2.5,2450,20805,2.0,0,4,9,2450,0.0,47.6275,-122.227,3020,20324,544.4444444444445,0.11776015380918048,1.25,8.12412599710217,9.239475202868075,17.363601199970248,30610,7.03,4354.1963015647225,1.61,254763.4276,9,0.9162907318741551,7.803843303538772,9.942948621417042,7.803843303538772,-inf,3.863410325507453,,8.013012110368916,9.919557732713622,6.299765906762499,-2.139105317878269,0.22314355131420976,2.094838152842353,2.223485087814227,2.854376130113605,10.329082031939459,1.9501867058225735,8.378895326116885,0.4762341789963717,12.448090658626228
